trip_number,origin,
250001224281,SLOUGH,
250001259039,SLOUGH,
250001250039,SLOUGH,
250001196311,SLOUGH,
250001147120,SLOUGH,
250001121871,SLOUGH,
250001247676,SLOUGH,
250001223489,SLOUGH,
250001261982,SLOUGH,
250001219079,SLOUGH,
250001175084,SLOUGH,
250001239994,SLOUGH,
250001138776,SLOUGH,
250001249423,SLOUGH,
250001245781,SLOUGH,
250001185251,SLOUGH,
250001260162,SLOUGH,
250001185898,SLOUGH,
250001156570,SLOUGH,
250001158996,SLOUGH,
250001178406,SLOUGH,
250001158274,SLOUGH,
250001215431,SLOUGH,
250001187770,SLOUGH,
250001186358,SLOUGH,
250001249675,SLOUGH,
250001152455,SLOUGH,
250001150704,SLOUGH,
250001234308,SLOUGH,
250001183719,SLOUGH,
250001140954,SLOUGH,
250001116260,SLOUGH,
250001229296,SLOUGH,
250001123753,SLOUGH,
250001113761,SLOUGH,
250001131790,SLOUGH,
250001266172,SLOUGH,
250001245286,SLOUGH,
250001128389,SLOUGH,
250001120737,SLOUGH,
250001221840,SLOUGH,
250001123444,SLOUGH,
250001118585,SLOUGH,
250001114710,SLOUGH,
250001144690,SLOUGH,
250001208024,SLOUGH,
250001161049,SLOUGH,
250001158360,SLOUGH,
250001262712,SLOUGH,
250001164922,SLOUGH,
250001253628,SLOUGH,
250001125023,SLOUGH,
250001235949,SLOUGH,
250001144196,SLOUGH,
250001168539,SLOUGH,
250001192502,SLOUGH,
250001250041,SLOUGH,
250001174896,SLOUGH,
250001237232,SLOUGH,
250001193647,SLOUGH,
250001116241,SLOUGH,
250001172575,SLOUGH,
250001112603,SLOUGH,
250001154068,SLOUGH,
250001195812,SLOUGH,
250001127477,SLOUGH,
250001199628,SLOUGH,
250001162977,SLOUGH,
250001189330,SLOUGH,
250001131768,SLOUGH,
250001148110,SLOUGH,
250001112853,SLOUGH,
250001248790,SLOUGH,
250001228550,SLOUGH,
250001196252,SLOUGH,
250001145466,SLOUGH,
250001245782,SLOUGH,
250001241608,SLOUGH,
250001115867,SLOUGH,
250001196470,SLOUGH,
250001159910,SLOUGH,
250001135220,SLOUGH,
250001153425,SLOUGH,
250001236427,SLOUGH,
250001176558,SLOUGH,
250001182913,SLOUGH,
250001250263,SLOUGH,
250001195909,SLOUGH,
250001132366,SLOUGH,
250001246245,SLOUGH,
250001209522,SLOUGH,
250001153251,SLOUGH,
250001217268,SLOUGH,
250001143418,SLOUGH,
250001158735,SLOUGH,
250001154212,SLOUGH,
250001200184,SLOUGH,
250001205467,SLOUGH,
250001191989,SLOUGH,
250001255472,SLOUGH,
250001234347,SLOUGH,
250001224603,SLOUGH,
250001195722,SLOUGH,
250001198947,SLOUGH,
250001137722,SLOUGH,
250001245923,SLOUGH,
250001160054,SLOUGH,
250001152249,SLOUGH,
250001215786,SLOUGH,
250001190169,SLOUGH,
250001222827,SLOUGH,
250001178492,SLOUGH,
250001164425,SLOUGH,
250001251768,SLOUGH,
250001197564,SLOUGH,
250001140134,SLOUGH,
250001258914,SLOUGH,
250001254960,SLOUGH,
250001148125,SLOUGH,
250001128995,SLOUGH,
250001242198,SLOUGH,
250001230227,SLOUGH,
250001167920,SLOUGH,
250001142963,SLOUGH,
250001151466,SLOUGH,
250001224805,SLOUGH,
250001153007,SLOUGH,
250001167970,SLOUGH,
250001149977,SLOUGH,
250001160934,SLOUGH,
250001178673,SLOUGH,
250001182859,SLOUGH,
