codice_attivita,sport,categoria,sesso,numero_iscritti,
AT005,Calcio,Prima squadra,M,71,
AT078,Atletica Leggera,Promesse,U,71,
AT020,Pallavolo,Senior,M,71,
AT102,Palestra,Sala Pesi,U,72,
AT104,Palestra,Circuito Funzionale,U,72,
AT071,Pattinaggio,Agonistico,F,72,
AT080,Atletica Leggera,Elite,F,73,
AT012,Basket,Senior,M,73,
AT069,Pattinaggio,Velocità,F,74,
AT106,Calisthenics,Intermedio,U,74,
AT045,Arti Marziali,Cinture Nere,U,75,
AT068,Pattinaggio,Artistico,U,75,
AT063,Boxe,Pro,M,76,
AT107,Calisthenics,Avanzato,U,76,
AT051,Scherma,Senior,F,77,
AT081,Atletica Leggera,Elite,U,78,
AT088,Hockey su prato,Prima Squadra,M,79,
AT073,Atletica Leggera,Giovanile,M,80,
AT089,Hockey su prato,Prima Squadra,F,80,
