codice_abbonamento,tipo
AT084,periodico
AT085,periodico
AT086,periodico
AT087,limitato
AT088,limitato
AT089,limitato
AT090,limitato
AT091,periodico
AT092,periodico
AT093,periodico
AT094,limitato
AT095,limitato
AT096,limitato
AT097,limitato
AT098,periodico
AT099,periodico
AT100,periodico
AT101,limitato
AT102,limitato
AT103,limitato
AT104,limitato
AT105,periodico
AT106,periodico
AT107,periodico
AT108,limitato
AT109,limitato
AT110,limitato
AT111,limitato
AT112,periodico
AT113,periodico
AT114,periodico
AT115,limitato
AT116,limitato
AT117,limitato
AT118,limitato
AT119,periodico
AT120,periodico
AT121,periodico
AT122,limitato
AT123,limitato
AT124,limitato
AT125,limitato
