codice_attivita,costo,sport
AT001,124,Calcio
AT002,83,Calcio
AT003,136,Calcio
AT004,126,Calcio
AT005,69,Calcio
AT006,69,Calcio
AT007,131,Calcio
AT008,143,Basket
AT009,111,Basket
AT010,94,Basket
AT011,123,Basket
AT012,104,Basket
AT013,55,Basket
AT014,134,Basket
AT015,65,Basket
AT016,57,Basket
AT017,146,Pallavolo
AT018,77,Pallavolo
AT019,115,Pallavolo
AT020,100,Pallavolo
AT021,90,Pallavolo
AT022,100,Pallavolo
AT023,112,Pallavolo
AT024,50,Nuoto
AT025,81,Nuoto
AT026,61,Nuoto
AT027,82,Tennis
AT028,113,Tennis
AT029,147,Tennis
AT030,143,Tennis
AT031,57,Tennis
AT032,100,Atletica
AT033,139,Atletica
AT034,89,Atletica
AT035,148,Yoga
AT036,111,Yoga
AT037,107,Arti Marziali
AT038,139,Arti Marziali
AT039,145,Arti Marziali
AT040,85,Scherma
AT041,101,Scherma
AT042,118,Scherma
AT043,146,Scherma
AT044,55,Scherma
AT045,103,Arrampicata
AT046,149,Arrampicata
AT047,76,Rugby
AT048,119,Rugby
AT049,104,Rugby
AT050,137,Rugby
AT051,78,Rugby
AT052,75,Rugby
AT053,88,Rugby
AT054,71,Boxe
AT055,133,Boxe
AT056,109,Boxe
AT057,97,Boxe
AT058,64,Ping Pong
AT059,56,Ping Pong
AT060,101,Pattinaggio
AT061,136,Pattinaggio
AT062,128,Pattinaggio
AT063,63,Pattinaggio
AT064,76,Pattinaggio
AT065,135,Pattinaggio
AT066,56,Hockey su prato
AT067,114,Hockey su prato
AT068,59,Hockey su prato
AT069,51,Hockey su prato
AT070,60,Hockey su prato
AT071,127,Hockey su prato
AT072,103,Hockey su prato
AT073,81,Judo
AT074,66,Judo
AT075,121,Judo
AT076,66,Judo
AT077,74,Judo
AT078,131,Ultimate Frisbee
AT079,98,Ultimate Frisbee
AT080,114,Ultimate Frisbee
AT081,137,Ultimate Frisbee
AT082,126,Palestra
AT083,94,Calisthenics
AT084,55,Palestra
AT085,58,Palestra
AT086,87,Palestra
AT087,26,Palestra
AT088,52,Palestra
AT089,107,Palestra
AT090,157,Palestra
AT091,59,Ping Pong
AT092,70,Ping Pong
AT093,88,Ping Pong
AT094,28,Ping Pong
AT095,56,Ping Pong
AT096,107,Ping Pong
AT097,159,Ping Pong
AT098,47,Boxe
AT099,77,Boxe
AT100,75,Boxe
AT101,29,Boxe
AT102,59,Boxe
AT103,100,Boxe
AT104,159,Boxe
AT105,52,Tennis
AT106,51,Tennis
AT107,90,Tennis
AT108,29,Tennis
AT109,53,Tennis
AT110,107,Tennis
AT111,158,Tennis
AT112,43,Arrampicata
AT113,57,Arrampicata
AT114,74,Arrampicata
AT115,28,Arrampicata
AT116,59,Arrampicata
AT117,102,Arrampicata
AT118,154,Arrampicata
AT119,30,Nuoto
AT120,54,Nuoto
AT121,87,Nuoto
AT122,26,Nuoto
AT123,54,Nuoto
AT124,103,Nuoto
AT125,159,Nuoto
