codice_corso,categoria,sesso
AT001,Esordienti,U
AT002,Allievi,M
AT003,Allievi,F
AT004,Juniores,M
AT005,Juniores,F
AT006,Prima squadra,M
AT007,Prima squadra,F
AT008,Under 12,U
AT009,Under 16,F
AT010,Under 16,M
AT011,Under 18,F
AT012,Under 18,M
AT013,Under 21,F
AT014,Under 21,M
AT015,Senior,F
AT016,Senior,M
AT017,Under 12,U
AT018,Under 16,F
AT019,Under 16,M
AT020,Under 18,F
AT021,Under 18,M
AT022,Senior,F
AT023,Senior,M
AT024,Base,U
AT025,Agonisti,U
AT026,Master,U
AT027,Under 12,U
AT028,Under 18,M
AT029,Under 18,F
AT030,Senior,M
AT031,Senior,F
AT032,Esordienti,U
AT033,Cadetti,U
AT034,Professionisti,U
AT035,Principianti,U
AT036,Intermedio,U
AT037,Avanzato,U
AT038,Cinture Bianche,U
AT039,Cinture Colorate,U
AT040,Cinture Nere,U
AT041,Under 14,U
AT042,Under 17,M
AT043,Under 17,F
AT044,Senior,M
AT045,Senior,F
AT046,Base,U
AT047,Avanzato,U
AT048,Under 12,U
AT049,Under 16,M
AT050,Under 16,F
AT051,Under 20,M
AT052,Under 20,F
AT053,Prima squadra,M
AT054,Prima squadra,F
AT055,Amatori,M
AT056,Agonisti,M
AT057,Agonisti,F
AT058,Pro,M
AT059,Base,U
AT060,Elite,U
AT061,Artistico,F
AT062,Artistico,U
AT063,Velocità,F
AT064,Velocità,U
AT065,Agonistico,F
AT066,Agonistico,U
AT067,Under 14,U
AT068,Under 16,M
AT069,Under 16,F
AT070,Under 18,M
AT071,Under 18,F
AT072,Prima Squadra,M
AT073,Prima Squadra,F
AT074,Kyu,U
AT075,Dan,M
AT076,Dan,F
AT077,Cadetti,M
AT078,Cadetti,F
AT079,Under 14,U
AT080,Under 18,U
AT081,Prima squadra,M
AT082,Prima squadra,F
AT084,Calisthenics,U
