codice_edizione,data_inizio,data_fine,n_partecipanti,corso
ED2020001,2020-12-01,2021-04-01,14,AT001
ED2020002,2020-09-01,2021-04-01,18,AT002
ED2021003,2021-01-01,2021-07-01,11,AT003
ED2020004,2020-12-01,2021-06-01,18,AT004
ED2020005,2020-11-01,2021-05-01,10,AT005
ED2020006,2020-12-01,2021-06-01,14,AT006
ED2020007,2020-09-01,2021-04-01,14,AT007
ED2020008,2020-12-01,2021-06-01,10,AT008
ED2020009,2020-11-01,2021-03-01,20,AT009
ED2020010,2020-11-01,2021-07-01,20,AT010
ED2020011,2020-11-01,2021-03-01,19,AT011
ED2020012,2020-12-01,2021-04-01,17,AT012
ED2020013,2020-09-01,2021-03-01,17,AT013
ED2020014,2020-11-01,2021-03-01,14,AT014
ED2020015,2020-11-01,2021-05-01,15,AT015
ED2021016,2021-01-01,2021-08-01,17,AT016
ED2020017,2020-10-01,2021-06-01,10,AT017
ED2020018,2020-10-01,2021-04-01,20,AT018
ED2020019,2020-09-01,2021-05-01,11,AT019
ED2020020,2020-10-01,2021-04-01,20,AT020
ED2020021,2020-10-01,2021-05-01,13,AT021
ED2020022,2020-11-01,2021-03-01,20,AT022
ED2021023,2021-01-01,2021-06-01,12,AT023
ED2020024,2020-09-01,2021-02-01,16,AT024
ED2020025,2020-11-01,2021-03-01,18,AT025
ED2020026,2020-09-01,2021-04-01,14,AT026
ED2021027,2021-01-01,2021-07-01,19,AT027
ED2021028,2021-01-01,2021-07-01,19,AT028
ED2020029,2020-10-01,2021-04-01,17,AT029
ED2020030,2020-11-01,2021-05-01,16,AT030
ED2021031,2021-01-01,2021-09-01,18,AT031
ED2020032,2020-11-01,2021-05-01,11,AT032
ED2020033,2020-12-01,2021-05-01,19,AT033
ED2020034,2020-11-01,2021-07-01,15,AT034
ED2020035,2020-09-01,2021-01-01,10,AT035
ED2020036,2020-11-01,2021-06-01,15,AT036
ED2020037,2020-10-01,2021-04-01,17,AT037
ED2020038,2020-11-01,2021-03-01,18,AT038
ED2020039,2020-10-01,2021-05-01,14,AT039
ED2020040,2020-11-01,2021-04-01,11,AT040
