giorno,orario_inizio,orario_fine,campo,codice_edizione
Lunedì,07:30,09:00,CAMPO010,ED2024333
Martedì,07:30,09:00,CAMPO010,ED2024333
Mercoledì,07:30,09:00,CAMPO010,ED2024333
Lunedì,09:00,10:30,CAMPO020,ED2024334
Martedì,09:00,10:30,CAMPO020,ED2024334
Mercoledì,09:00,10:30,CAMPO020,ED2024334
Lunedì,07:30,09:00,CAMPO026,ED2024335
Martedì,07:30,09:00,CAMPO026,ED2024335
Mercoledì,07:30,09:00,CAMPO026,ED2024335
Lunedì,09:00,10:30,CAMPO010,ED2025336
Martedì,09:00,10:30,CAMPO010,ED2025336
Mercoledì,09:00,10:30,CAMPO010,ED2025336
Lunedì,10:30,12:00,CAMPO034,ED2024337
Martedì,10:30,12:00,CAMPO034,ED2024337
Mercoledì,10:30,12:00,CAMPO034,ED2024337
Lunedì,10:30,12:00,CAMPO020,ED2024338
Martedì,10:30,12:00,CAMPO020,ED2024338
Mercoledì,10:30,12:00,CAMPO020,ED2024338
Lunedì,12:00,13:30,CAMPO020,ED2024339
Martedì,12:00,13:30,CAMPO020,ED2024339
Mercoledì,12:00,13:30,CAMPO020,ED2024339
Lunedì,12:00,13:30,CAMPO013,ED2024340
Martedì,12:00,13:30,CAMPO013,ED2024340
Mercoledì,12:00,13:30,CAMPO013,ED2024340
Lunedì,13:30,15:00,CAMPO013,ED2024341
Martedì,13:30,15:00,CAMPO013,ED2024341
Mercoledì,13:30,15:00,CAMPO013,ED2024341
Lunedì,08:00,09:30,CAMPO033,ED2025342
Martedì,08:00,09:30,CAMPO033,ED2025342
Mercoledì,08:00,09:30,CAMPO033,ED2025342
Lunedì,09:30,11:00,CAMPO033,ED2024343
Martedì,09:30,11:00,CAMPO033,ED2024343
Mercoledì,09:30,11:00,CAMPO033,ED2024343
Lunedì,09:00,10:30,CAMPO012,ED2024344
Martedì,09:00,10:30,CAMPO012,ED2024344
Mercoledì,09:00,10:30,CAMPO012,ED2024344
Lunedì,13:30,15:00,CAMPO018,ED2024345
Martedì,13:30,15:00,CAMPO018,ED2024345
Mercoledì,13:30,15:00,CAMPO018,ED2024345
Lunedì,11:00,12:30,CAMPO033,ED2024346
Martedì,11:00,12:30,CAMPO033,ED2024346
Mercoledì,11:00,12:30,CAMPO033,ED2024346
Lunedì,15:00,16:30,CAMPO037,ED2024347
Martedì,15:00,16:30,CAMPO037,ED2024347
Mercoledì,15:00,16:30,CAMPO037,ED2024347
Lunedì,12:30,14:00,CAMPO033,ED2024348
Martedì,12:30,14:00,CAMPO033,ED2024348
Mercoledì,12:30,14:00,CAMPO033,ED2024348
Lunedì,10:30,12:00,CAMPO039,ED2024349
Martedì,10:30,12:00,CAMPO039,ED2024349
Mercoledì,10:30,12:00,CAMPO039,ED2024349
Lunedì,15:00,16:30,CAMPO018,ED2024350
Martedì,15:00,16:30,CAMPO018,ED2024350
Mercoledì,15:00,16:30,CAMPO018,ED2024350
Lunedì,16:30,18:00,CAMPO037,ED2024351
Martedì,16:30,18:00,CAMPO037,ED2024351
Mercoledì,16:30,18:00,CAMPO037,ED2024351
Lunedì,14:00,15:30,CAMPO033,ED2024352
Martedì,14:00,15:30,CAMPO033,ED2024352
Mercoledì,14:00,15:30,CAMPO033,ED2024352
Giovedì,07:30,09:00,CAMPO013,ED2024353
Venerdì,07:30,09:00,CAMPO013,ED2024353
Lunedì,12:00,13:30,CAMPO039,ED2024354
Martedì,12:00,13:30,CAMPO039,ED2024354
Mercoledì,12:00,13:30,CAMPO039,ED2024354
Lunedì,13:30,15:00,CAMPO039,ED2024355
Martedì,13:30,15:00,CAMPO039,ED2024355
