via,comune,giorno_settimana,apertura,chiusura
Incrocio Pinamonte,Vigodarzere,lunedi,08:30:00,16:30:00
Incrocio Pinamonte,Vigodarzere,martedi,08:30:00,16:30:00
Incrocio Pinamonte,Vigodarzere,mercoledi,08:30:00,16:30:00
Incrocio Pinamonte,Vigodarzere,giovedi,08:30:00,16:30:00
Incrocio Pinamonte,Vigodarzere,venerdi,08:30:00,16:30:00
Incrocio Pinamonte,Vigodarzere,sabato,08:30:00,17:00:00
Incrocio Pinamonte,Vigodarzere,domenica,09:00:00,16:30:00
Viale Gritti,Padova,lunedi,08:30:00,16:30:00
Viale Gritti,Padova,martedi,08:30:00,16:30:00
Viale Gritti,Padova,mercoledi,08:30:00,16:30:00
Viale Gritti,Padova,giovedi,08:30:00,16:30:00
Viale Gritti,Padova,venerdi,08:30:00,16:30:00
Viale Gritti,Padova,sabato,07:00:00,18:00:00
Viale Gritti,Padova,domenica,08:30:00,19:00:00
Borgo Sante,Vigodarzere,lunedi,09:00:00,19:00:00
Borgo Sante,Vigodarzere,martedi,09:00:00,19:00:00
Borgo Sante,Vigodarzere,mercoledi,09:00:00,19:00:00
Borgo Sante,Vigodarzere,giovedi,09:00:00,19:00:00
Borgo Sante,Vigodarzere,venerdi,09:00:00,19:00:00
Borgo Sante,Vigodarzere,sabato,07:30:00,17:00:00
Borgo Sante,Vigodarzere,domenica,09:00:00,17:30:00
Via Patrizia,Padova,lunedi,08:30:00,18:00:00
Via Patrizia,Padova,martedi,08:30:00,18:00:00
Via Patrizia,Padova,mercoledi,08:30:00,18:00:00
Via Patrizia,Padova,giovedi,08:30:00,18:00:00
Via Patrizia,Padova,venerdi,08:30:00,18:00:00
Via Patrizia,Padova,sabato,07:30:00,19:00:00
Via Patrizia,Padova,domenica,08:30:00,17:30:00
Incrocio Ilaria,Padova,lunedi,07:30:00,18:00:00
Incrocio Ilaria,Padova,martedi,07:30:00,18:00:00
Incrocio Ilaria,Padova,mercoledi,07:30:00,18:00:00
Incrocio Ilaria,Padova,giovedi,07:30:00,18:00:00
Incrocio Ilaria,Padova,venerdi,07:30:00,18:00:00
Incrocio Ilaria,Padova,sabato,07:30:00,17:30:00
Incrocio Ilaria,Padova,domenica,08:30:00,16:30:00
